Passenger_ID,Age,Gender,Nationality,Travel_Purpose,Flight_Number,Airline_Name,Class,Flight_Distance,Departure_City,Arrival_City,Departure_Delay,Arrival_Delay,Flight_Duration,Flight_Route_Type,Seat_Comfort,InFlight_Entertainment,Food_Quality,Cleanliness,Cabin_Staff_Service,Legroom,Baggage_Handling,CheckIn_Service,Boarding_Process,WiFi_Service,Festival_Season_Travel,Overall_Satisfaction,Recommendation,Complaint_Submitted,Complaint_Type,Feedback_Comments,Seat_Type,Loyalty_Membership,Frequent_Flyer,Baggage_Lost,Compensation_Received,Booking_Channel,Seat_Upgrade,Special_Assistance,Refund_Requested,Discount_Received,Preferred_Airline,Frequent_Route,Payment_Method,Airline_Loyalty_Program
84,50,Female,Indian,Family,AI827,Vistara,First Class,1441,Bangalore,Hyderabad,15,0,86,Domestic,10,6,0,10,3,0,0,0,5,0,0,Neutral,0.0,0,Long Security Check,WiFi was not working.,Standard,Gold,1,0,1,Travel Agency,0,0,0.0,1,Sometimes,Delhi - Mumbai,Net Banking,SpiceClub
85,50,Male,Indian,Family,AI486,SpiceJet,Economy,1441,Mumbai,Jaipur,15,5,86,Domestic,10,10,0,0,0,6,0,0,10,0,1,Satisfied,0.0,1,Other,Food was cold.,Standard,Platinum,1,1,0,Airport Counter,1,1,0.0,1,Sometimes,Bangalore - Hyderabad,Cash at Airport,IndiGo 6E Rewards
86,58,Male,Indian,Transit,AI883,Vistara,Economy,5000,Kolkata,Hyderabad,0,5,300,Domestic,10,6,0,10,10,3,3,10,6,0,0,Happy,1.0,0,No Complaint,No Feedback,Aisle,Gold,1,1,0,Online,1,1,1.0,0,Sometimes,Delhi - Mumbai,Cash at Airport,Club Vistara
87,50,Male,Indian,Family,AI923,Air India,Economy,1441,Guwahati,Jaipur,15,0,86,Domestic,6,10,0,0,10,10,0,3,6,0,0,Satisfied,0.0,1,Food,Terrible experience.,Standard,Silver,0,0,1,Travel Agency,0,0,0.0,1,Sometimes,Bangalore - Hyderabad,Net Banking,Club Vistara
88,50,Male,Indian,Family,AI610,SpiceJet,Business,1441,Bangalore,Delhi,15,5,86,Domestic,0,10,0,2,0,0,0,10,0,0,1,Neutral,0.0,1,Unhygienic Toilets,Loved the flight.,Aisle,No,1,0,0,Travel Agency,0,1,1.0,0,Sometimes,Pune - Delhi,Debit Card,Club Vistara
89,90,Male,Indian,Family,AI129,Vistara,First Class,1441,Pune,Ahmedabad,0,5,86,Domestic,10,0,10,6,10,10,0,0,6,0,1,Neutral,1.0,1,Long Security Check,No Feedback,Standard,No,1,1,1,Online,1,0,0.0,1,Yes,Delhi - Mumbai,UPI,SpiceClub
90,50,Male,Indian,Leisure,AI367,AirAsia India,First Class,1441,Kolkata,Bangalore,0,5,86,Domestic,10,0,6,0,0,10,6,5,6,0,1,Happy,0.0,1,Turbulence,Bad,Window,No,1,1,1,Travel Agency,0,1,0.0,0,Yes,Delhi - Mumbai,Cash at Airport,SpiceClub
91,50,Male,Indian,Leisure,AI381,Akasa Air,Business,2130,Ahmedabad,Chennai,1,5,127,Domestic,10,10,0,10,6,0,10,6,10,0,1,Happy,1.0,0,Broken Entertainment System,Terrible experience.,Window,No,1,0,0,Airport Counter,0,0,0.0,0,Yes,Bangalore - Hyderabad,Net Banking,Flying Returns (Air India)
92,55,Male,Indian,Family,AI753,SpiceJet,First Class,1441,Bhubaneswar,Delhi,0,5,86,Domestic,6,0,2,3,10,6,0,6,0,0,0,Happy,1.0,0,Food,Food was cold.,Window,Gold,1,0,0,Travel Agency,1,1,0.0,1,Yes,Delhi - Mumbai,Cash at Airport,Flying Returns (Air India)
93,90,Male,Indian,Leisure,AI539,Indigo,First Class,1620,Bangalore,Hyderabad,15,5,97,Domestic,10,6,10,10,2,10,0,0,6,0,1,Happy,0.0,1,Delay,Good,Window,No,0,0,1,Airport Counter,0,1,0.0,0,Yes,Pune - Delhi,Net Banking,IndiGo 6E Rewards
94,51,Male,Indian,Leisure,AI125,SpiceJet,First Class,1441,Ahmedabad,Delhi,0,5,86,Domestic,5,10,1,10,4,10,5,6,6,0,0,Satisfied,0.0,0,Broken Entertainment System,Terrible experience.,Window,Platinum,0,0,0,Mobile App,0,1,0.0,1,Sometimes,Pune - Delhi,UPI,Club Vistara
95,21,Female,Indian,Leisure,AI951,Alliance Air,First Class,5000,Guwahati,Chennai,0,0,300,Domestic,10,0,0,0,4,10,6,10,6,0,0,Happy,0.0,0,No Complaint,Good,Middle,Gold,1,1,0,Mobile App,0,0,0.0,0,Yes,Chennai - Kolkata,Debit Card,Club Vistara
96,90,Male,Indian,Family,AI144,AirAsia India,Economy,942,Chennai,Guwahati,0,5,56,Domestic,6,10,0,0,10,10,10,0,10,0,0,Satisfied,0.0,1,Unhygienic Toilets,Good,Standard,Gold,0,0,1,Mobile App,0,1,1.0,1,No,Bangalore - Hyderabad,Cash at Airport,Flying Returns (Air India)
97,90,Male,Indian,Leisure,AI100,TruJet,Economy,2797,Bhubaneswar,Kochi,0,5,167,Domestic,6,10,10,6,10,5,0,10,6,5,1,Satisfied,1.0,0,Broken Entertainment System,Bad,Aisle,Silver,0,0,0,Airport Counter,0,0,0.0,1,Yes,Delhi - Mumbai,Debit Card,IndiGo 6E Rewards
98,43,Male,Indian,Leisure,AI252,AirAsia India,First Class,5000,Chennai,Hyderabad,15,5,300,Domestic,10,10,10,10,6,0,0,6,10,0,0,Happy,1.0,0,Delay,Good,Middle,Gold,0,1,0,Online,1,1,1.0,1,Sometimes,Delhi - Mumbai,Net Banking,Flying Returns (Air India)
99,50,Male,Indian,Business,AI134,Indigo,First Class,1441,Pune,Guwahati,0,0,86,Domestic,10,10,2,10,10,3,0,10,4,3,1,Satisfied,0.0,0,Food,Great service!,Window,No,0,1,0,Airport Counter,0,0,0.0,1,No,Chennai - Kolkata,Credit Card,IndiGo 6E Rewards
100,90,Male,Indian,Family,AI134,Indigo,First Class,1441,Chennai,Pune,15,5,86,Domestic,10,10,10,10,10,6,0,5,0,0,1,Happy,0.0,1,Delay,Terrible experience.,Aisle,Gold,0,1,0,Travel Agency,1,1,1.0,0,Sometimes,Bangalore - Hyderabad,Net Banking,IndiGo 6E Rewards
101,90,Female,Indian,Family,AI629,GoAir,Business,1441,Kochi,Kolkata,15,0,86,Domestic,0,0,10,0,10,10,0,3,6,1,1,Neutral,0.0,1,Unhygienic Toilets,Food was cold.,Aisle,Platinum,0,1,0,Airport Counter,0,1,0.0,1,Yes,Delhi - Mumbai,UPI,IndiGo 6E Rewards
102,50,Female,Indian,Business,AI759,Indigo,Economy,1441,Bhubaneswar,Bangalore,15,5,86,Domestic,5,0,5,6,2,3,10,5,10,0,1,Neutral,1.0,0,Food,Bad,Window,Gold,0,1,1,Mobile App,0,0,1.0,0,Sometimes,Pune - Delhi,Net Banking,Club Vistara
103,90,Male,Indian,Leisure,AI879,Air India,Economy,5000,Bangalore,Hyderabad,0,5,300,Domestic,10,0,10,4,0,0,0,10,0,0,0,Dissatisfied,0.0,0,Long Security Check,No Feedback,Standard,Gold,1,1,0,Airport Counter,1,1,0.0,0,No,Delhi - Mumbai,Cash at Airport,Club Vistara
104,51,Male,Indian,Leisure,AI264,Alliance Air,Economy,1441,Hyderabad,Chennai,15,5,86,Domestic,0,10,0,0,10,6,10,10,10,0,1,Satisfied,0.0,0,Long Security Check,Loved the flight.,Aisle,No,0,1,0,Mobile App,0,1,1.0,1,Yes,Bangalore - Hyderabad,Debit Card,Club Vistara
105,45,Female,Indian,Family,AI518,GoAir,First Class,1441,Hyderabad,Guwahati,0,0,86,Domestic,10,0,0,10,0,6,3,10,6,0,1,Happy,1.0,0,Delay,Good,Middle,Silver,0,0,0,Mobile App,0,0,1.0,0,No,Bangalore - Hyderabad,Net Banking,Club Vistara
106,50,Male,Indian,Family,AI134,Indigo,Economy,1441,Ahmedabad,Lucknow,0,0,86,Domestic,6,10,0,10,10,0,0,10,10,0,1,Satisfied,1.0,1,Service,Terrible experience.,Middle,Gold,1,0,1,Airport Counter,0,1,0.0,0,Yes,Pune - Delhi,UPI,Club Vistara
107,26,Male,Indian,Leisure,AI680,GoAir,First Class,5000,Bangalore,Chennai,15,0,300,Domestic,6,6,10,10,3,5,10,3,0,0,0,Dissatisfied,0.0,1,Broken Entertainment System,Loved the flight.,Standard,Gold,0,1,0,Travel Agency,0,0,0.0,1,Sometimes,Delhi - Mumbai,Debit Card,Flying Returns (Air India)
108,50,Male,Indian,Family,AI289,Akasa Air,First Class,2160,Lucknow,Kochi,0,0,129,Domestic,3,10,6,6,0,10,10,10,10,4,1,Happy,1.0,0,Long Security Check,Good,Aisle,No,0,1,0,Airport Counter,1,0,0.0,1,Sometimes,Bangalore - Hyderabad,Cash at Airport,IndiGo 6E Rewards
109,90,Male,Indian,Business,AI546,GoAir,First Class,1441,Guwahati,Kolkata,15,5,86,Domestic,10,0,2,10,0,6,0,10,0,5,1,Dissatisfied,0.0,0,Turbulence,Bad,Window,Silver,0,0,0,Online,0,0,0.0,0,Yes,Chennai - Kolkata,UPI,Club Vistara
110,50,Female,Indian,Leisure,AI248,Air India,Business,1441,Guwahati,Delhi,15,5,86,Domestic,10,0,10,10,6,5,0,3,6,0,0,Satisfied,0.0,1,Bad Experience,Bad,Window,Silver,0,0,0,Airport Counter,0,1,0.0,1,Sometimes,Pune - Delhi,Net Banking,Club Vistara
111,74,Male,Indian,Leisure,AI489,Akasa Air,Economy,1441,Delhi,Kochi,15,0,86,Domestic,0,10,4,0,0,0,6,0,10,0,0,Neutral,0.0,0,Delay,Great service!,Standard,No,0,0,1,Travel Agency,0,0,0.0,1,No,Bangalore - Hyderabad,Credit Card,SpiceClub
112,50,Male,Indian,Leisure,AI248,GoAir,First Class,1441,Guwahati,Kochi,0,5,86,Domestic,10,3,0,1,10,10,0,0,0,0,1,Neutral,1.0,0,Turbulence,Good,Window,Gold,1,0,0,Travel Agency,1,0,0.0,1,No,Delhi - Mumbai,UPI,IndiGo 6E Rewards
113,50,Male,Indian,Leisure,AI995,AirAsia India,Economy,1201,Bhubaneswar,Chennai,15,0,72,Domestic,10,0,0,10,10,4,10,10,10,0,1,Satisfied,0.0,0,Service,No Feedback,Window,No,0,1,0,Airport Counter,0,1,0.0,1,Sometimes,Delhi - Mumbai,UPI,Flying Returns (Air India)
114,38,Female,Indian,Business,AI955,Alliance Air,Business,1079,Ahmedabad,Kochi,0,5,64,Domestic,0,10,1,0,0,6,6,10,4,0,1,Satisfied,1.0,0,Delay,Good,Aisle,Gold,0,0,0,Online,1,0,0.0,0,Yes,Chennai - Kolkata,Credit Card,IndiGo 6E Rewards
115,50,Female,Indian,Leisure,AI267,TruJet,Economy,1271,Kolkata,Hyderabad,15,5,76,Domestic,10,0,0,10,1,0,10,6,5,0,1,Satisfied,1.0,0,Broken Entertainment System,WiFi was not working.,Window,Gold,1,0,0,Mobile App,1,0,1.0,1,Sometimes,Pune - Delhi,Debit Card,IndiGo 6E Rewards
116,50,Female,Indian,Family,AI320,AirAsia India,Economy,2627,Bhubaneswar,Lucknow,15,0,157,Domestic,10,0,0,10,0,10,10,0,10,0,0,Neutral,0.0,0,Long Security Check,Good,Window,Platinum,0,1,0,Airport Counter,0,1,0.0,1,No,Chennai - Kolkata,UPI,Club Vistara
117,90,Female,Indian,Family,AI487,Alliance Air,First Class,1441,Chennai,Pune,15,5,86,Domestic,1,10,0,0,10,10,0,0,2,5,0,Happy,0.0,0,Service,WiFi was not working.,Window,Platinum,1,0,1,Travel Agency,0,1,0.0,1,Sometimes,Chennai - Kolkata,Credit Card,IndiGo 6E Rewards
118,50,Male,Indian,Family,AI583,GoAir,First Class,1441,Kolkata,Jaipur,0,5,86,Domestic,6,0,0,4,10,2,0,10,6,0,1,Happy,1.0,0,Bad Experience,Good,Middle,No,0,0,0,Mobile App,0,0,0.0,1,Yes,Delhi - Mumbai,Cash at Airport,SpiceClub
119,50,Female,Indian,Family,AI521,Vistara,Business,1441,Chennai,Hyderabad,15,5,86,Domestic,10,6,0,6,10,10,0,10,10,0,1,Happy,0.0,0,Bad Experience,Bad,Standard,Platinum,1,1,0,Mobile App,0,1,0.0,1,Yes,Bangalore - Hyderabad,UPI,Club Vistara
120,90,Male,Indian,Business,AI289,Akasa Air,First Class,1441,Mumbai,Bangalore,0,0,86,Domestic,10,10,10,6,6,0,10,1,6,1,0,Satisfied,0.0,0,No Complaint,WiFi was not working.,Window,Platinum,1,1,1,Travel Agency,0,1,0.0,1,Yes,Delhi - Mumbai,UPI,SpiceClub
121,50,Male,Indian,Business,AI134,Indigo,Economy,1581,Guwahati,Jaipur,0,5,94,Domestic,10,0,10,4,0,0,0,10,0,0,0,Neutral,0.0,0,Turbulence,Terrible experience.,Middle,Platinum,1,1,0,Airport Counter,0,0,0.0,0,Yes,Pune - Delhi,Net Banking,SpiceClub
122,50,Male,Indian,Business,AI340,SpiceJet,First Class,1441,Kolkata,Chennai,0,5,86,Domestic,0,0,0,6,10,10,10,10,6,0,0,Satisfied,0.0,1,Long Security Check,Bad,Standard,Silver,1,0,1,Travel Agency,1,1,0.0,1,Yes,Bangalore - Hyderabad,Cash at Airport,IndiGo 6E Rewards
123,52,Female,Indian,Leisure,AI340,SpiceJet,Business,2174,Jaipur,Lucknow,15,5,130,Domestic,10,10,2,10,6,10,0,0,4,0,0,Happy,0.0,0,Long Security Check,Good,Middle,No,1,0,1,Airport Counter,1,0,0.0,1,Yes,Delhi - Mumbai,Cash at Airport,Club Vistara
124,79,Male,Indian,Leisure,AI884,AirAsia India,Economy,1441,Lucknow,Ahmedabad,0,0,86,Domestic,10,6,6,0,0,0,10,0,6,3,1,Happy,0.0,1,Bad Experience,No Feedback,Middle,Silver,0,0,0,Online,0,1,1.0,1,Yes,Chennai - Kolkata,UPI,SpiceClub
125,50,Female,Indian,Leisure,AI700,GoAir,Business,1441,Lucknow,Jaipur,12,0,86,Domestic,0,10,1,0,0,10,0,0,10,0,0,Happy,0.0,0,Bad Experience,Bad,Standard,Gold,0,0,0,Airport Counter,1,0,0.0,1,No,Bangalore - Hyderabad,UPI,Club Vistara
126,50,Female,Indian,Family,AI287,SpiceJet,Economy,1441,Jaipur,Guwahati,0,0,86,Domestic,0,0,10,0,10,10,0,0,6,0,1,Dissatisfied,0.0,0,Other,Bad,Middle,Platinum,0,1,0,Airport Counter,1,1,0.0,1,No,Delhi - Mumbai,Net Banking,Club Vistara
127,50,Male,Indian,Business,AI217,TruJet,Business,1441,Mumbai,Delhi,15,5,86,Domestic,10,2,10,1,10,0,10,6,0,0,1,Neutral,0.0,0,Delay,Good,Middle,No,0,0,0,Travel Agency,0,1,0.0,0,Sometimes,Delhi - Mumbai,Net Banking,Club Vistara
128,90,Female,Indian,Business,AI437,GoAir,Economy,5000,Kochi,Bangalore,15,5,300,Domestic,6,10,10,5,0,10,10,0,6,0,0,Happy,0.0,0,Delay,Good,Standard,Gold,1,1,0,Online,1,0,0.0,0,No,Chennai - Kolkata,UPI,SpiceClub
129,90,Female,Indian,Family,AI248,GoAir,Economy,5000,Guwahati,Kochi,0,0,300,Domestic,10,0,2,10,10,0,0,10,6,0,1,Satisfied,0.0,0,Broken Entertainment System,No Feedback,Window,Platinum,0,1,0,Travel Agency,0,0,1.0,0,Yes,Pune - Delhi,Credit Card,SpiceClub
130,90,Male,Indian,Leisure,AI289,Akasa Air,Economy,1441,Delhi,Chennai,0,5,86,Domestic,0,10,10,6,10,10,0,10,0,0,0,Satisfied,0.0,0,Turbulence,Good,Standard,Silver,0,1,1,Travel Agency,0,1,0.0,0,No,Delhi - Mumbai,Cash at Airport,Flying Returns (Air India)
131,50,Male,Indian,Leisure,AI289,Akasa Air,Business,5000,Delhi,Bangalore,15,5,300,Domestic,6,0,0,0,0,10,0,0,5,0,0,Dissatisfied,1.0,0,No Complaint,WiFi was not working.,Standard,Gold,1,1,0,Online,0,0,0.0,1,Yes,Delhi - Mumbai,Debit Card,Flying Returns (Air India)
132,50,Female,Indian,Family,AI427,AirAsia India,Economy,1441,Hyderabad,Mumbai,15,5,86,Domestic,6,10,0,10,0,0,6,0,10,0,1,Happy,0.0,1,Unhygienic Toilets,Food was cold.,Middle,Platinum,0,1,0,Online,0,0,0.0,0,No,Chennai - Kolkata,Credit Card,Flying Returns (Air India)
133,77,Male,Indian,Transit,AI995,AirAsia India,First Class,824,Ahmedabad,Hyderabad,15,5,49,Domestic,0,10,10,6,10,5,0,6,0,5,0,Happy,0.0,0,Bad Experience,WiFi was not working.,Middle,No,1,0,0,Travel Agency,0,1,0.0,0,Yes,Delhi - Mumbai,Credit Card,Club Vistara
134,90,Male,Indian,Leisure,AI494,AirAsia India,Economy,1441,Guwahati,Kolkata,15,5,86,Domestic,0,10,10,10,0,0,0,4,6,0,0,Happy,0.0,1,Food,No Feedback,Aisle,Silver,1,1,0,Mobile App,0,1,1.0,1,No,Delhi - Mumbai,Net Banking,Club Vistara
135,90,Male,Indian,Family,AI219,Akasa Air,Business,1001,Kochi,Chennai,15,5,60,Domestic,0,0,10,10,10,10,6,10,10,0,0,Satisfied,0.0,0,Bad Experience,Terrible experience.,Aisle,Gold,0,0,1,Airport Counter,0,1,1.0,0,Sometimes,Delhi - Mumbai,Net Banking,SpiceClub
136,35,Female,Indian,Business,AI706,Alliance Air,First Class,1441,Guwahati,Ahmedabad,0,5,86,Domestic,0,4,5,0,6,10,0,10,6,0,1,Happy,0.0,0,Food,Terrible experience.,Window,Gold,0,0,0,Travel Agency,1,1,0.0,0,Sometimes,Delhi - Mumbai,Net Banking,IndiGo 6E Rewards
137,90,Male,Indian,Family,AI413,TruJet,Business,1033,Ahmedabad,Bhubaneswar,15,5,61,Domestic,10,1,3,0,10,10,6,10,1,0,0,Dissatisfied,0.0,0,Other,No Feedback,Middle,Platinum,0,1,1,Airport Counter,1,1,0.0,0,No,Bangalore - Hyderabad,Cash at Airport,Club Vistara
138,50,Male,Indian,Study,AI574,GoAir,Economy,1441,Jaipur,Kolkata,15,0,86,Domestic,10,0,3,10,0,3,5,10,10,2,0,Happy,1.0,1,Long Security Check,Terrible experience.,Window,Gold,0,0,1,Travel Agency,0,1,0.0,0,No,Chennai - Kolkata,Credit Card,Club Vistara
139,50,Female,Indian,Leisure,AI129,Vistara,Economy,1441,Ahmedabad,Bhubaneswar,15,5,86,Domestic,10,5,0,10,10,4,0,10,10,3,0,Happy,0.0,1,Bad Experience,No Feedback,Window,Silver,0,1,0,Mobile App,0,0,0.0,0,No,Delhi - Mumbai,Credit Card,IndiGo 6E Rewards
140,50,Male,Indian,Family,AI447,TruJet,First Class,888,Bangalore,Pune,0,5,53,Domestic,6,0,0,10,6,2,0,10,0,0,1,Neutral,0.0,1,Bad Experience,Food was cold.,Window,Platinum,1,0,0,Travel Agency,0,1,0.0,0,No,Delhi - Mumbai,Cash at Airport,Flying Returns (Air India)
141,50,Male,Indian,Leisure,AI454,Vistara,First Class,5000,Kolkata,Bangalore,0,0,300,Domestic,0,10,0,4,2,10,4,10,5,0,0,Dissatisfied,0.0,0,Bad Experience,Good,Standard,Platinum,1,0,0,Mobile App,1,0,0.0,0,No,Bangalore - Hyderabad,Net Banking,Club Vistara
142,90,Male,Indian,Leisure,AI134,Indigo,Business,5000,Bangalore,Guwahati,15,0,300,Domestic,5,6,0,10,10,5,0,6,10,0,1,Dissatisfied,0.0,1,Other,Good,Standard,Silver,1,1,0,Travel Agency,1,1,0.0,0,Yes,Chennai - Kolkata,UPI,IndiGo 6E Rewards
143,76,Female,Indian,Family,AI876,Air India,Business,1441,Lucknow,Mumbai,15,5,86,Domestic,0,10,6,10,10,10,0,10,10,0,0,Happy,0.0,1,Unhygienic Toilets,WiFi was not working.,Window,Silver,0,0,0,Online,0,0,0.0,0,Yes,Pune - Delhi,Cash at Airport,Club Vistara
144,53,Female,Indian,Business,AI340,SpiceJet,First Class,1889,Bhubaneswar,Mumbai,0,5,113,Domestic,6,10,0,5,0,6,10,10,1,0,0,Happy,0.0,1,Other,No Feedback,Window,Platinum,0,1,0,Online,0,1,0.0,1,No,Delhi - Mumbai,UPI,Flying Returns (Air India)
145,18,Female,Indian,Family,AI129,Vistara,Economy,1441,Chennai,Ahmedabad,0,0,86,Domestic,4,0,0,6,6,10,6,10,6,0,1,Happy,0.0,0,Long Security Check,Good,Window,Silver,0,1,0,Travel Agency,1,0,0.0,0,No,Delhi - Mumbai,UPI,Club Vistara
146,50,Female,Indian,Family,AI100,TruJet,First Class,1441,Hyderabad,Jaipur,0,0,86,Domestic,10,6,0,0,10,10,0,0,6,0,1,Dissatisfied,1.0,1,Unhygienic Toilets,Good,Aisle,Gold,0,0,0,Online,1,0,0.0,0,No,Pune - Delhi,Net Banking,SpiceClub
147,90,Female,Indian,Family,AI289,Akasa Air,Economy,5000,Chennai,Kochi,15,0,300,Domestic,0,4,0,6,10,10,10,10,10,0,0,Dissatisfied,0.0,1,Bad Experience,Loved the flight.,Middle,Platinum,0,1,0,Airport Counter,0,1,0.0,1,No,Pune - Delhi,Cash at Airport,Club Vistara
148,20,Male,Indian,Business,AI913,Air India,First Class,1441,Chennai,Mumbai,15,0,86,Domestic,10,10,0,0,10,0,10,0,10,0,1,Happy,0.0,0,Delay,Good,Middle,Gold,0,0,1,Mobile App,1,1,0.0,0,No,Delhi - Mumbai,Credit Card,Club Vistara
149,50,Female,Indian,Leisure,AI469,TruJet,Business,1441,Bhubaneswar,Jaipur,15,0,86,Domestic,6,10,0,10,6,10,10,6,6,0,0,Happy,0.0,0,Bad Experience,Food was cold.,Window,Silver,1,1,0,Travel Agency,1,0,0.0,1,Yes,Pune - Delhi,Debit Card,IndiGo 6E Rewards
150,90,Male,Indian,Business,AI289,Akasa Air,First Class,5000,Mumbai,Hyderabad,15,0,300,Domestic,10,0,0,10,6,2,10,6,6,3,0,Dissatisfied,0.0,0,Food,Good,Aisle,Platinum,0,1,0,Online,1,1,0.0,0,Yes,Delhi - Mumbai,Net Banking,Flying Returns (Air India)
151,50,Male,Indian,Family,AI894,SpiceJet,Economy,2825,Kochi,Hyderabad,15,0,169,Domestic,0,0,10,0,6,10,10,10,6,5,0,Dissatisfied,0.0,0,Delay,Terrible experience.,Window,Gold,1,1,0,Mobile App,0,0,0.0,1,No,Delhi - Mumbai,Debit Card,Club Vistara
152,50,Male,Indian,Family,AI857,Akasa Air,First Class,5000,Bhubaneswar,Chennai,15,5,300,Domestic,0,10,0,0,10,10,10,10,1,2,1,Happy,1.0,1,Food,Good,Middle,Platinum,0,0,1,Online,1,1,0.0,0,No,Delhi - Mumbai,UPI,Flying Returns (Air India)
153,50,Male,Indian,Business,AI712,SpiceJet,First Class,1441,Bhubaneswar,Delhi,0,0,86,Domestic,10,0,2,0,0,0,1,10,10,0,0,Happy,0.0,0,Food,Great service!,Middle,Silver,1,1,0,Travel Agency,1,0,1.0,0,Yes,Chennai - Kolkata,Net Banking,Club Vistara
154,20,Male,Indian,Family,AI264,Alliance Air,First Class,1441,Hyderabad,Kolkata,0,5,86,Domestic,10,10,6,6,6,10,10,10,10,0,0,Neutral,0.0,1,Service,Food was cold.,Standard,Gold,0,0,1,Mobile App,0,1,1.0,1,No,Delhi - Mumbai,Net Banking,IndiGo 6E Rewards
155,90,Male,Indian,Leisure,AI681,TruJet,First Class,1441,Kochi,Jaipur,0,0,86,Domestic,0,10,6,10,10,6,5,10,10,3,1,Satisfied,0.0,1,Bad Experience,Good,Aisle,Platinum,0,0,1,Travel Agency,0,1,1.0,0,Yes,Delhi - Mumbai,Cash at Airport,IndiGo 6E Rewards
156,50,Male,Indian,Family,AI581,TruJet,Economy,5000,Ahmedabad,Lucknow,0,5,300,Domestic,10,10,0,10,4,0,2,10,6,0,1,Dissatisfied,0.0,0,Bad Experience,Good,Aisle,Silver,0,0,1,Travel Agency,0,1,1.0,1,Sometimes,Delhi - Mumbai,UPI,SpiceClub
157,49,Male,Indian,Leisure,AI828,Vistara,First Class,1441,Guwahati,Jaipur,0,0,86,Domestic,0,0,0,10,10,2,10,4,6,0,1,Satisfied,0.0,1,Bad Experience,No Feedback,Window,Platinum,1,0,0,Mobile App,1,1,0.0,1,No,Chennai - Kolkata,Debit Card,IndiGo 6E Rewards
158,65,Female,Indian,Family,AI945,Akasa Air,Business,1441,Kolkata,Bhubaneswar,0,5,86,Domestic,10,6,10,6,6,0,6,10,0,5,1,Happy,0.0,0,Broken Entertainment System,Good,Standard,Silver,1,0,1,Airport Counter,0,1,0.0,1,Sometimes,Delhi - Mumbai,Debit Card,Club Vistara
159,50,Female,Indian,Leisure,AI342,Indigo,Business,1441,Kochi,Pune,15,0,86,Domestic,2,10,6,0,0,0,6,10,6,5,0,Happy,0.0,1,Long Security Check,WiFi was not working.,Aisle,Platinum,0,0,1,Mobile App,0,1,1.0,0,Sometimes,Bangalore - Hyderabad,Cash at Airport,Flying Returns (Air India)
160,50,Female,Indian,Family,AI760,SpiceJet,Business,748,Jaipur,Chennai,15,5,44,Domestic,10,10,10,6,10,0,10,4,10,3,1,Dissatisfied,0.0,0,Food,WiFi was not working.,Aisle,Gold,1,0,1,Online,1,1,0.0,0,Yes,Pune - Delhi,Cash at Airport,SpiceClub
161,65,Male,Indian,Leisure,AI304,Akasa Air,First Class,5000,Chennai,Jaipur,15,0,300,Domestic,6,5,10,0,1,10,10,10,0,2,0,Happy,0.0,0,Turbulence,Bad,Window,Silver,0,0,0,Travel Agency,1,0,1.0,1,No,Bangalore - Hyderabad,UPI,Club Vistara
162,50,Male,Indian,Family,AI433,Akasa Air,First Class,2605,Mumbai,Lucknow,15,5,156,Domestic,10,0,0,4,6,5,0,4,6,0,0,Satisfied,0.0,1,Bad Experience,Good,Aisle,Platinum,1,0,1,Online,1,0,0.0,0,Yes,Delhi - Mumbai,Net Banking,Club Vistara
163,50,Female,Indian,Family,AI898,Akasa Air,First Class,1441,Lucknow,Kochi,0,0,86,Domestic,0,0,0,0,6,6,0,10,6,2,1,Satisfied,1.0,0,Service,WiFi was not working.,Middle,Platinum,0,1,0,Mobile App,0,0,0.0,0,Sometimes,Chennai - Kolkata,UPI,Club Vistara
164,90,Female,Indian,Family,AI316,SpiceJet,Economy,126,Jaipur,Bhubaneswar,0,5,15,Domestic,10,10,6,10,3,10,2,6,4,0,1,Happy,1.0,0,Long Security Check,Food was cold.,Aisle,Platinum,1,0,0,Online,1,0,0.0,0,Yes,Delhi - Mumbai,Credit Card,SpiceClub
165,22,Female,Indian,Leisure,AI249,AirAsia India,Business,5000,Bangalore,Guwahati,15,0,300,Domestic,10,6,0,10,10,0,10,10,10,0,0,Happy,0.0,1,Service,Good,Window,Silver,0,0,0,Online,0,0,0.0,0,Yes,Chennai - Kolkata,Net Banking,SpiceClub
166,50,Male,Indian,Family,AI156,SpiceJet,First Class,1441,Chennai,Kolkata,15,0,86,Domestic,0,6,0,0,0,3,6,10,10,0,0,Happy,0.0,0,Food,Good,Standard,Platinum,1,1,1,Online,0,1,1.0,1,Sometimes,Pune - Delhi,UPI,Club Vistara
167,90,Female,Indian,Family,AI100,TruJet,Business,1441,Bangalore,Chennai,15,0,86,Domestic,0,10,0,10,10,5,10,6,6,0,1,Happy,1.0,1,Unhygienic Toilets,Food was cold.,Middle,Platinum,0,1,1,Mobile App,1,0,0.0,0,Sometimes,Pune - Delhi,Net Banking,IndiGo 6E Rewards
168,46,Female,Indian,Business,AI885,GoAir,Business,2892,Lucknow,Jaipur,0,0,173,Domestic,10,10,0,0,10,10,1,10,10,0,0,Satisfied,0.0,0,Long Security Check,WiFi was not working.,Aisle,No,1,1,0,Airport Counter,0,0,1.0,0,Sometimes,Bangalore - Hyderabad,Net Banking,IndiGo 6E Rewards
